region_name,region_code,income_group_name,income_group_code,country_name,country_code,r2m_name,r2m_code,sdg_name,sdg_code,indicator_name,indicator_code,sex,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Southern Asia,ASZ,Low income,LIC,Afghanistan,AFG,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,9.005013,,,9.961,,
Southern Europe,EUZ,Upper middle income,UMC,Albania,ALB,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,28.26813,,,37.98635,,
Northern Africa,AFN,Upper middle income,UMC,Algeria,DZA,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,33.28611,,,50.47579,,
Southern Europe,EUZ,High income,HIC,Andorra,AND,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Southern Europe,EUZ,High income,HIC,Andorra,AND,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Middle Africa,AFM,Upper middle income,UMC,Angola,AGO,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,39.20354,,,29.31812,,
Caribbean,AMC,High income,HIC,Antigua and Barbuda,ATG,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Caribbean,AMC,High income,HIC,Antigua and Barbuda,ATG,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
South America,AMZ,Upper middle income,UMC,Argentina,ARG,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,33.13022,,,50.1973,,
Western Asia,ASW,Lower middle income,LMC,Armenia,ARM,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,17.48687,,,17.23996,,
Caribbean,AMC,High income,HIC,Aruba,ABW,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Caribbean,AMC,High income,HIC,Aruba,ABW,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Australia and New Zealand,OAZ,High income,HIC,Australia,AUS,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,99.06484,,,98.85957,,
Western Europe,EUW,High income,HIC,Austria,AUT,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,97.08174,,,96.73406,,
Western Asia,ASW,Upper middle income,UMC,Azerbaijan,AZE,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,14.90085,,,29.15149,,
Caribbean,AMC,High income,HIC,Bahamas,BHS,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Caribbean,AMC,High income,HIC,Bahamas,BHS,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Western Asia,ASW,High income,HIC,Bahrain,BHR,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,64.51457,,,81.93935,,
Southern Asia,ASZ,Lower middle income,LMC,Bangladesh,BGD,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,31.74365,,,29.1421,,
Caribbean,AMC,High income,HIC,Barbados,BRB,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Caribbean,AMC,High income,HIC,Barbados,BRB,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Eastern Europe,EUE,Upper middle income,UMC,Belarus,BLR,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,58.60198,,,71.98499,,
Western Europe,EUW,High income,HIC,Belgium,BEL,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,96.30613,,,98.12576,,
Central America,AMM,Upper middle income,UMC,Belize,BLZ,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,48.20925,,
Western Africa,AFW,Low income,LIC,Benin,BEN,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,10.46394,,,15.97993,,
Southern Asia,ASZ,Lower middle income,LMC,Bhutan,BTN,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,33.66591,,
South America,AMZ,Lower middle income,LMC,Bolivia,BOL,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,28.02913,,,40.71082,,
Southern Europe,EUZ,Upper middle income,UMC,Bosnia and Herzegovina,BIH,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,56.21161,,,52.68503,,
Southern Africa,AFZ,Upper middle income,UMC,Botswana,BWA,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,30.26001,,,49.24358,,
South America,AMZ,Upper middle income,UMC,Brazil,BRA,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,55.86038,,,68.12315,,
South­Eastern Asia,ASE,High income,HIC,Brunei Darussalam,BRN,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
South­Eastern Asia,ASE,High income,HIC,Brunei Darussalam,BRN,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Eastern Europe,EUE,Upper middle income,UMC,Bulgaria,BGR,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,52.8249,,,62.98683,,
Western Africa,AFW,Low income,LIC,Burkina Faso,BFA,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,13.35309,,,13.42449,,
Eastern Africa,AFE,Low income,LIC,Burundi,BDI,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,7.237984,,,6.94346,,
Western Africa,AFW,Lower middle income,LMC,Cabo Verde,CPV,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Western Africa,AFW,Lower middle income,LMC,Cabo Verde,CPV,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
South­Eastern Asia,ASE,Lower middle income,LMC,Cambodia,KHM,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,3.659712,,,12.55649,,
Middle Africa,AFM,Lower middle income,LMC,Cameroon,CMR,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,14.80961,,,11.35104,,
North America,AMN,High income,HIC,Canada,CAN,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,95.80464,,,99.10332,,
Middle Africa,AFM,Low income,LIC,Central African Republic,CAF,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,3.300809,,,,,
Middle Africa,AFM,Low income,LIC,Chad,TCD,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,8.959745,,,7.699498,,
Northern Europe,EUN,High income,HIC,Channel Islands,CHI,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Northern Europe,EUN,High income,HIC,Channel Islands,CHI,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
South America,AMZ,High income,HIC,Chile,CHL,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,42.17929,,,63.21075,,
Eastern Asia,ASF,Upper middle income,UMC,China,CHN,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,63.81731,,,78.92678,,
South America,AMZ,Upper middle income,UMC,Colombia,COL,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,30.4278,,,38.35334,,
Eastern Africa,AFE,Low income,LIC,Comoros,COM,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,21.69467,,,,,
Middle Africa,AFM,Low income,LIC,"Congo, Dem. Rep.",COD,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,3.696726,,,10.90759,,
Middle Africa,AFM,Lower middle income,LMC,"Congo, Rep.",COG,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,10.04806,,,16.68366,,
Central America,AMM,Upper middle income,UMC,Costa Rica,CRI,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,50.35873,,,64.55306,,
Western Africa,AFW,Lower middle income,LMC,Côte d’Ivoire,CIV,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,15.13626,,
Southern Europe,EUZ,High income,HIC,Croatia,HRV,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,88.39102,,,86.02509,,
Caribbean,AMC,Upper middle income,UMC,Cuba,CUB,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Caribbean,AMC,Upper middle income,UMC,Cuba,CUB,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Caribbean,AMC,High income,HIC,Curaçao,CUW,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Caribbean,AMC,High income,HIC,Curaçao,CUW,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Western Asia,ASW,High income,HIC,Cyprus,CYP,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,85.23765,,,90.1502,,
Eastern Europe,EUE,High income,HIC,Czech Republic,CZE,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,80.65119,,,82.17821,,
Northern Europe,EUN,High income,HIC,Denmark,DNK,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,99.73679,,,100,,
Eastern Africa,AFE,Lower middle income,LMC,Djibouti,DJI,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,12.27388,,,,,
Caribbean,AMC,Upper middle income,UMC,Dominica,DMA,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Caribbean,AMC,Upper middle income,UMC,Dominica,DMA,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Caribbean,AMC,Upper middle income,UMC,Dominican Republic,DOM,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,38.20467,,,53.98639,,
South America,AMZ,Upper middle income,UMC,Ecuador,ECU,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,36.7355,,,46.21243,,
Northern Africa,AFN,Lower middle income,LMC,Egypt,EGY,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,9.71998,,,13.65175,,
Central America,AMM,Lower middle income,LMC,El Salvador,SLV,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,13.76462,,,34.63472,,
Middle Africa,AFM,Upper middle income,UMC,Equatorial Guinea,GNQ,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Middle Africa,AFM,Upper middle income,UMC,Equatorial Guinea,GNQ,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Eastern Africa,AFE,Low income,LIC,Eritrea,ERI,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Eastern Africa,AFE,Low income,LIC,Eritrea,ERI,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Northern Europe,EUN,High income,HIC,Estonia,EST,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,96.82428,,,97.67167,,
Eastern Africa,AFE,Low income,LIC,Ethiopia,ETH,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,21.79158,,
Melanesia,OME,Upper middle income,UMC,Fiji,FJI,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Melanesia,OME,Upper middle income,UMC,Fiji,FJI,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Northern Europe,EUN,High income,HIC,Finland,FIN,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,99.65125,,,100,,
Western Europe,EUW,High income,HIC,France,FRA,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,96.98389,,,96.58276,,
Polynesia,OPY,High income,HIC,French Polynesia,PYF,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Polynesia,OPY,High income,HIC,French Polynesia,PYF,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Middle Africa,AFM,Upper middle income,UMC,Gabon,GAB,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,18.94652,,,30.15455,,
Western Africa,AFW,Low income,LIC,Gambia,GMB,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Western Africa,AFW,Low income,LIC,Gambia,GMB,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Western Asia,ASW,Upper middle income,UMC,Georgia,GEO,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,32.98097,,,39.66507,,
Western Europe,EUW,High income,HIC,Germany,DEU,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,98.13362,,,98.76041,,
Western Africa,AFW,Lower middle income,LMC,Ghana,GHA,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,29.42535,,,34.61837,,
Southern Europe,EUZ,High income,HIC,Greece,GRC,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,77.93986,,,87.51865,,
