"State","Population Group","Civilian non-institutional population","Total civilian labour force","Civilian labour force % (of pop)","Total employment","Employment % (of pop)","Total unemployment","Unemployment rate"
"Alabama","Total",4004,2293,57.3,2235,55.8,59,2.6
"Alabama","Men",1904,1217,63.9,1190,62.5,27,2.2
"Alabama","Women",2100,1077,51.3,1045,49.8,32,3
"Alaska","Total",549,354,64.6,339,61.8,16,4.4
"Alaska","Men",281,192,68.2,182,64.8,10,5
"Alaska","Women",267,163,60.8,157,58.6,6,3.7
"Arizona","Total",5878,3625,61.7,3481,59.2,144,4
"Arizona","Men",2893,1963,67.8,1888,65.3,75,3.8
"Arizona","Women",2985,1662,55.7,1593,53.4,69,4.2
"Arkansas","Total",2380,1366,57.4,1316,55.3,51,3.7
"Arkansas","Men",1153,714,62,688,59.7,26,3.6
"Arkansas","Women",1227,652,53.1,627,51.1,25,3.8
"California","Total",30969,19178,61.9,18377,59.3,802,4.2
"California","Men",15245,10477,68.7,10033,65.8,445,4.2
"California","Women",15725,8701,55.3,8344,53.1,357,4.1
"Colorado","Total",4677,3210,68.6,3110,66.5,100,3.1
"Colorado","Men",2342,1733,74,1677,71.6,56,3.2
"Colorado","Women",2335,1476,63.2,1433,61.4,44,3
"Connecticut","Total",2944,1923,65.3,1843,62.6,80,4.2
"Connecticut","Men",1429,1005,70.3,955,66.9,50,4.9
"Connecticut","Women",1515,918,60.6,888,58.6,31,3.3
"Delaware","Total",819,490,59.8,468,57.1,22,4.4
"Delaware","Men",390,245,62.8,233,59.9,12,4.7
"Delaware","Women",429,245,57,234,54.6,10,4.1
"District of Columbia","Total",530,371,70.1,354,66.9,17,4.6
"District of Columbia","Men",246,183,74.3,175,71.1,8,4.3
"District of Columbia","Women",283,188,66.5,179,63.2,9,4.9
"Florida","Total",17962,10677,59.4,10374,57.8,304,2.8
"Florida","Men",8695,5627,64.7,5464,62.8,164,2.9
"Florida","Women",9267,5050,54.5,4910,53,140,2.8
"Georgia","Total",8491,5240,61.7,5077,59.8,163,3.1
"Georgia","Men",4026,2750,68.3,2677,66.5,73,2.7
"Georgia","Women",4465,2490,55.8,2400,53.8,90,3.6
"Hawaii","Total",1114,666,59.8,642,57.7,24,3.7
